repo,subrepo,lang,includes,contains,declares,encloses,specializes,encapsulates,returns,instantiates,invokes,uses,parameterizes,typed,measures,overrides
dotnet__MQTTnet,,csharp,72,446,432,511,124,2290,330,1154,3447,189,1684,701,4352,4
dotnet__Open-XML-SDK,,csharp,107,718,826,1051,252,5406,444,1786,6087,794,4829,1676,9696,235
dotnet__aspire,,csharp,324,1112,1323,1691,349,5398,208,849,3374,848,5199,1030,10081,64
dotnet__aspnetcore,,csharp,1441,9754,14454,19618,5359,75546,5822,35687,80592,11895,67737,17656,144824,2060
dotnet__command-line-api,,csharp,46,357,448,577,138,2650,278,2109,2736,69,1747,578,5217,126
dotnet__csharplang,,csharp,1,1,3,3,0,18,5,8,2,0,29,16,37,0
dotnet__docfx,,csharp,135,748,947,1180,234,4674,367,998,3267,288,5223,1332,8474,160
dotnet__eShop,,csharp,166,520,526,698,106,1586,48,249,472,61,1328,384,3045,21
dotnet__machinelearning,,csharp,286,1821,5153,7623,1994,38462,8592,10319,41313,12510,47418,17601,57483,2110
dotnet__maui,,csharp,839,8885,10834,13047,6581,57821,2631,24233,39462,10802,50683,17499,101240,3444
dotnet__msbuild,,csharp,178,1976,2761,3471,1229,31462,1742,11582,41698,6099,26784,7803,50171,1257
dotnet__orleans,,csharp,467,2356,4726,5671,2231,22654,1082,2397,14798,6001,19520,7285,39420,587
dotnet__reactive,,csharp,319,1381,2021,2862,509,24651,418,5198,28512,1084,28638,2898,43483,159
dotnet__samples,,csharp,1324,2851,2676,3166,662,12614,264,1218,4550,3271,12284,1160,21830,123
